Input.name,Answer.timings,
On My - Lil Wayne.mp3,"0:25,0.26
0:44,0:45
1:25,1:26
2:49,2:50
3:26,3:27
3:36,3:37
3:38,3:39
3:47,3:48
4:01,4:02"
Romance - Lil Wayne.mp3,"0:19, 0:20
0:26, 0:27
0:46, 0:47
0:53, 0:54
2:08, 2:09
2:16, 2:17
2:50, 2:51
2:53, 2:64
3:05, 3:06
3:17, 3:18
3:25, 3:26
3:4, 3:45
3:52, 3:53"
Its Good - Lil Wayne.mp3,"0:41,0:42
1:43,1:44
1:45,1:46
1:49,1:50
1:51,1:52
2:08,2:09
2:46,2:47
2:50,2:51
3:05,3:06"
How To Hate - Lil Wayne.mp3,"0:48,0:49
0:51,0:52
0:53,0:54
1:30,1:31
1:36,1:37
1:40,1:41
1:52,1:53
1:55,1:56
2:31,2:32
3:09,3:10
3:56,3:57"
Blunt Blowin - Lil Wayne.mp3,"1:15,1:16
1:29,1:30
1:43,1:44
2:08,2:09
2:21,2:22
2:40,2:41
2:54,2:55
3:08,3:09
3:30,3:31
3:42,3:43
3:58,3:59
4:05,4:06
4:19,4:20"
Mrs. Officer - Lil Wayne.mp3,"1:41,1:42"
Best Rapper Alive - Lil Wayne.mp3,"0:00,0:01
0:30,0:31
2:30,2:31
3:00,3:01
3:05,3:06
3:06,3:07
3:08,3:09
3:09,3:10
3:10,3:11
3:32,3:33
3:47,3:48"
Shine - Lil Wayne.mp3,"1:33,1:34
2:25,2:26
3:42,3:43
4:51,4:52"
On The Grind - Lil Wayne.mp3,"0:25,0:26
1:41,1:42
2:16,2:17
3:17,3:18
3:42,3:44
4:24,4:25
4:35,4:36
4:40,4:41"
Stuntin Like My Daddy - Lil Wayne.mp3,"0:51,0:52
0:55,0:56
0:57,0:58
2:57,2:58
3:16,3:17"
Watts Scratch - Lil Wayne.mp3,"1:15,1:16
2:42,2:43
2:43,2:44
2:57,2:58
3:03,3:04
3:19,3:20
3:33,3:34
3:49,3:50
4:02,4:03"
Bitches Love Me - Lil Wayne.mp3,"0:24,0:25
0:32,0:33
0:44,0:45
1:05,1:06
1:07,1:08
1:41,1:42
1:49,1:50
1:53,1:54
2:58,2:59
3:06,3:07
3:59,4:00
4:07,4:08"
You Aint Got Nuthin - Lil Wayne.mp3,"0:28,029
0:30,031
1:27,1:28
1:39,1:40
3:04,3:05
3:16,3:17
3:42,3:43
4:41,4:42
4:53,4:54
5:05,5:06
5:17,5:18"
Jump Jiggy - Lil Wayne.mp3,"2:39,2:40"
Loud Pipes - Lil Wayne.mp3,"0:32,0:33
0:38,0:39
0:40,0:41
0:44,0:45
5:03,5:04
5:11,5:12"
Like Father Like Son - Lil Wayne.mp3,"0:45,0:46
1:01,1:02
1:49,1:50
1:52,1:53
3:01,3:02"
Get That Money - Lil Wayne.mp3,"0:28,0:29
0:52,0:53
2:45,2:46
3:29,3:30
4:08,4:09"
So Special - Lil Wayne.mp3,"3:10,3:11"
Hold Up - Lil Wayne.mp3,"1:16,1:17
1:18,1:19
1:28,1:29
1:30,1:31
1:55,1:56
2:02,2:03
2:13,2:14
2:28,2:29
3:02,3:03
3:09,3:10
3:28,3:29
3:30,3:31
3:40,3:41
3:42,3:43"
Whats Wrong With Them - Lil Wayne.mp3,"0:44,0:45
0:57,0:58
1:00,1:01
1:10,1:11
1:13,1:14
1:29,1:30
1:31,1:32
1:49,1:50
2:01,2:02
2:04,2:05
2:14,2:15
2:17,2:18
2:30,2:31
2:38,2:39
2:45,2:46
2:52,2:53
2:55,2:56
3:05,3:06
3:08,3:09"
A Milli - Lil Wayne.mp3,"0:46,0:47
1:05,1:06
2:01,2:02
2:15,2:16
3:09,3:10"
Only Way - Lil Wayne.mp3,"0:10,0:11
0:43,0:44
1:10,1:11
1:52,1:53
3:24,3:25"
The Price Is Wrong - Lil Wayne.mp3,"0:06,0:07
0:33,0:34
1:06,1:07
1:21,1:22
1:27,1:28
2:24,2:25
2:42,2:43
2:53,2:54
3:06,3:07
3:07,3:08
3:09,3:10
3:10,3:11
3:12,3:13
3:13,3:14
3:15,3:16
3:16,3:17
3:18,3:19
3:19,3:20
3:21,3:22
3:22,3:23"
President Carter - Lil Wayne.mp3,"1:25,1:26
1:59,2:00
2:30,2:31
3:26,3:27"
Kisha - Lil Wayne.mp3,"1:49,1:50
1:57,1:58
2:24,2:25
2:37,2:38
2:41,2:42
3:18,3:19
3:37,3:38"
Bloodline - Lil Wayne.mp3,"1:24,1:25"
Beat the Shit - Lil Wayne.mp3,"0:28,0:29
0:32,0:33
0:57,0:58
1:16,1:17
1:27,1:28
1:39,1:40
1:43,1:44
2:07,2:08
2:10,2:11
2:50,2:51
2:54,2:55
3:35,3:36
3:37,3:38
3:50,3:51
4:14,4:15"
No More - Lil Wayne.mp3,"0:02,0:03
0:18, 0:19
1:15, 1:16
2:10,2:11
2:20, 2:21
2:35, 2:36
3:48, 3:49"
Bill Gates - Lil Wayne.mp3,"0:40,0:41
1:02,1:03
1:05,1:06
2:03,2:04
2:18,2:19
2:25,2:26
2:26,2:27
2:47,2:48
2:55,2:56"
Walk Out - Lil Wayne.mp3,"0:47,0:48
0:50,0:51
2:03,2:04"
Gunwalk - Lil Wayne.mp3,"0:19,0:20
0:33,0:34
1:00,1:01
1:16,1:17
1:28,1:29
1:42,1:43
2:00,2:01
2:06,2:07
2:18,2:19
2:20,2:21
2:21,2:22
2:50,2:51
3:09,3:10
3:35,3:36
3:49,3:50"
Believe That - Lil Wayne.mp3,"0:36,0:37
0:45,0:46,
0:53,0:54
3:38,3:39
3:40,3:41
3:42,3:43
4:08,4:09"
Act A A** - Lil Wayne.mp3,"2:33,2:34
2:34,2:35
2:41,2:42
3:03,3:04"
That Aint Me - Lil Wayne.mp3,"0:14,0:15"
Go DJ - Lil Wayne.mp3,"1:34,1:35
4:12,4:13
4:39,4:40"
Gangsta S*** - Lil Wayne.mp3,"0:15,0:16
0:57,0:58
0:58,0:59
1:15,1:16
1:57,1:58
1:58,1:59
2:57,2:58
2:58,2:59"
Ground Zero - Lil Wayne.mp3,"0:53,0:54
0:55,0:56
1:33,1:34
3:03,3:04"
Mo Fire - Lil Wayne.mp3,"0:38,0:39
2:27,2:28"
F*** Tha World - Lil Wayne.mp3,"0:05,0:06
0:47,0:48
0:53,0:54
1:04,1:05
1:59,2:00
2:00,2:01
2:03,2:04
2:14,2:15
3:09,3:10
3:12,3:13
3:23,3:24
3:35,3:36
3:46,3:47"
Lovely - Lil Wayne.mp3,"0:23,0:24
0:30,0:31
0:42,0:43
1:03,1:04
1:05,1:06
1:39,1:40
1:47,1:48
1:51,1:52
2:56,2:57
3:04,3:05
3:58,3:59
4:05,4:06"
Aint Worried Bout Sh*t - Lil Wayne.mp3,"0:51,0:52
0:52,0:53
1:07,1:08
1:17,1:18
1:44,1:45
2:10,2:11
2:20,2:21
3:12,3:13
3:21,3:22
3:23,3:24
3:34,3:35"
Mr. Carter - Lil Wayne.mp3,"1:27,1:28
2:33,2:34
4:49,4:50"
Days and Days - Lil Wayne.mp3,"0:42,0:43
1:56,1:57
2:32,2:33"
Gangsta And Pimps - Lil Wayne.mp3,"3:18,3:19"
Drop The World - Lil Wayne.mp3,"0:54,0:55
0:51,0:52
0:57,0:58
1:04,1:05
1:11,1:12
1:14,1:15
1:17,1:18
1:50,1:51
1:57,1:58
2:04,2:05
2:07,2:08
2:10,2:11
2:26,2:27
2:39,2:40
2:43,2:44
2:46,2:47
2:53,2:54
2:57,2:58
2:58,2:59
3:16,3:17
3:20,3:21
3:23,3:24
3:30,3:31
3:36,3:37
3:40,3:41
3:43,3:44"
Right Above It - Lil Wayne.mp3,"0:27,0:28
1:24,1:25
1:27,1:28
1:48,1:49
2:04,2:05
2:38,2:39
2:41,2:42
3:03,3:04
3:31,3:32
3:51,3:52
3:55,3:56"
Gossip - Lil Wayne.mp3,"0:59,1:00
1:34,1:35
2:02,2:03
3:04,3:05
3:07,3:08"
Im a Dboy - Lil Wayne.mp3,"0:17,0:18
0:20,0:21
1:00,1:01
1:08,1:09
2:29,2:30"
Weezy Baby - Lil Wayne.mp3,"0:17,0:18
0:45,0:46
0:57,0:58
0:59,1:00
2:06,2:06
3:08,3:09
3:28,3:28 
3:52,3:52
3:53,3:54"
I Dont Like The Look Of It - Lil Wayne.mp3,"0:11,0:12
0:17,0:18
0:23,0:24
0:45,0:46
1:14,1:15
2:23,2:24
2:24,2:25
2:40,2:41
2:52,2:53"
Kush (Explicit Album Version) - Lil Wayne.mp3,"0:30,0:31
1:31,1:32
1:39,1:40
1:47,1:48"
Lets Go - Lil Wayne.mp3,"0:51,0:52
2:19,2:20
2:20,2:21
2:33,2:34
2:38,2:39
2:54,2:55
3:08,3:09
3:25,3:26
3:38,3:39"
Wowzerz - Lil Wayne.mp3,"0:56, 0:57
3:29, 3:30
3:33, 3:34
3:35, 3:36
3:37, 3:38
3:34, 3:35
3:42,3:43"
Loyalty - Lil Wayne.mp3,"3:05,3:06
3:08,3:09
3:16,3:17"
My Homies Still - Lil Wayne.mp3,"0:12,0:13
0:17,0:18
0:21,0:22
3:41,3:42"
IANAHB - Lil Wayne.mp3,"2:00,2:01
2:22,2:23
2:58,2:59
3:12,3:13
3:19,3:20
3:52,3:53
4:11,4:12
4:20,4:21
4:23,4:24
4:39,4:40"
I Like The View - Lil Wayne.mp3,"1:35,1:36
3:10,3:11
4:30,4:31"
Hit Em Up - Lil Wayne.mp3,"0:15,0:16
0:27:0:28
1:12,1:13
2:34,2:35
3:12,3:13
3:46,3:47"
We Dont - Lil Wayne.mp3,"1:07:1:08
1:19:1:20
1:21:1:22
1:26:1:27
1:31:1:32
1:33:1:34
1:38:1:39
2:21:2:22
2:24:2:25
2:30:2:31
2:32:2:33
2:37:2:38
2:42:2:43
2:44:2:45
2:49:2:50
3:41:3:42
3:43:3:44
3:48:3:49
3:53:3:54
3:55:3:56
4:00:4:01"
Way Of Life - Lil Wayne.mp3,"2:32,2:33
3:29,3:30
3:56,3:57"
Get Down - Lil Wayne.mp3,"0:03,0:04
0:37,0:38
0:55,0:56
1:41,1:42
2:04,2:05
2:10,2:11
2:46:2:47
3:25,3:26
3:51,3:52
4:00,4:01"
One Way Trip - Lil Wayne.mp3,"0:33,0:34
0:39,0:40
0:50,0:51
1:06,1:07
1:47,1:48
2:08,2:09
2:11,2:12
3:14,3:15"
Playn With Fire - Lil Wayne.mp3,"0:54,0:55
0:56,0:57
3:52,3:53
3:53,3:54"
Earthquake - Lil Wayne.mp3,"5:06,5:07"
Lay It Down - Lil Wayne.mp3,"0:33,0:34
1:02,1:03
1:55,1:56
1:56,1:57
2:21,2:22
2:22,2:23
2:24,2:25
3:41,3:42
3:45,3:46"
Wish You Would - Lil Wayne.mp3,"0:20,0:21
0:31,0:32
1:19,1:20
1:40,1:41
2:32,2:33"
Where You At - Lil Wayne.mp3,"3:27,3:28"
Carter II - Lil Wayne.mp3,"0:51,0:52
1:10,1:11"
Look At Me - Lil Wayne.mp3,"0:51,0:52
2:19,2:20
2:20,2:21
2:33,2:34
2:38,2:39
2:55,2:56
3:08,3:09
3:25,3:26
3:38,3:39"
Abortion - Lil Wayne.mp3,"1:38,1:39
2:56,2:57"
Enemy Turf - Lil Wayne.mp3,"0:17,0:18"
Who Wanna - Lil Wayne.mp3,"1:16,1:17
1:19,1:20
1:21,1:22
1:24,1:25
1:25,1:26
1:26,1:27
1:29,1:30
1:32,1:33
1:34,1:35
1:35,1:36
1:51,1:52
2:19,2:20
2:21,2:22
2:25,2:24
2:27,2:28
2:28,2:29
2:29,2:30
2:32,2:33
2:35,2:36
2:37,2:38
2:38,2:39
3:32,3:33
3:35,3:36
3:38,3:39
3:40,3:41
3:41,3:42
3:43,3:44
3:45,3:46
3:48,3:49
3:51,3:52
3:52,3:53"
Oh No - Lil Wayne.mp3,"1:31,1:32"
Grown Man - Lil Wayne.mp3,"2:52,2:53
2:53,2:54"
Prom Queen - Lil Wayne.mp3,"1:11,1:12
2:24,2:25
3:17,3:18"
Come On - Lil Wayne.mp3,"0:30,0:31
0:31,0:32
3:05,3:06"
Back ToYou - Lil Wayne.mp3,"2:59,3:00"
Aint That A Bi**h - Lil Wayne.mp3,"0:26,0:27
2:16,2:17
2:38,2:39
2:43,2:44
4:04,4:05"
Hustler Musik - Lil Wayne.mp3,"0:18,0:19
0:32,0:33
1:05,1:06
1:10,1:11
1:19,1:20
2:18,2:19
3:36,3:37
3:59,4:00
4:18,4:19`
4:29,4:30
5:01,5:02"
On My Own - Lil Wayne.mp3,"0:48,0:49
3:06,3:07"
F**k Wit Me Now - Lil Wayne.mp3,"0:13,0:14
0:23,0:24
0:45,0:46
0:46,0:47
1:16,1:17
2:38,2:39
2:51,2:52
3:14,3:15
3:20,3:21
3:43,3:44"
Mirror - Lil Wayne.mp3,"2:08,2:09"
Snitch - Lil Wayne.mp3,"1:32,1:33
1:33,1:34
1:41,1:42"
Curtains - Lil Wayne.mp3,"1:06,1:07
1:23,1:24
2:34,2:35
2:54,2:55
4:17,4:18"
Lil One - Lil Wayne.mp3,"0:06,0:07
1:32,1:33
1:44,1:45
2:45,2:46"
Dont Die - Lil Wayne.mp3,"1:11,1:12
1:21, 1:22
2:15,2:16
2:25,2:26
2:31,2:32
2:33,2:34
3:11,3:12
3:17,3:18
3:19,3:20
3:29,3:30"
YM Banger - Lil Wayne.mp3,"0:56,0:57
1:47,1:48
1:54,1:55
2:47,2:48
3:14,3:15"
I Am Not A Human Being - Lil Wayne.mp3,"0:48,0:49
0:50,0:51
0:52,0:53
0:58,0:59
1:04,1:05,
2:19,2:20
2:21,2:22
3:26,3:27
3:31,3:32"
Intro - Lil Wayne.mp3,"0:14,0:15
0:30,0:31
1:41,1:42
2:01,2:02
2:05,2:06"
6 Foot 7 Foot - Lil Wayne.mp3,"0:31,0:32
0:37,0:38
0:49,0:50
0:50,0:51
1:34,1:35
1:45,1:46
1:51,1:52
3:37,3:38
3:40,3:41"
3 Peat - Lil Wayne.mp3,"0:23,0:24
0:27,0:28
0:33,0:34
0:36,0:37
0:43,0:44
0:48,0:49
2:07,2:08
2:08,2:09
2:10,2:11"
Rich As Fuck - Lil Wayne.mp3,"0:27,0:28
0:44,0:45
0:50,0:51
0:54,0:55
0:57,0:58
1:07,1:08
1:19,1:20
1:23,1:24
1:27,1:28
1:34,1:35
1:37,1:38
1:46,1:47
2:44,2:45
3:07,3:08
3:15,3:16
3:19,3:20
3:23,3:24
3:24,3:25
3:30,3:31
3:32,3:32
3:34,3:35
3:37,3:38"
Cali Dro - Lil Wayne.mp3,"1:16,1:17
3:50,3:51
3:51,3:52
3:52,3:53
3:57,3:58
3:58,3:59
3:59,4:00"
Popular - Lil Wayne.mp3,"2:30,2:31
3:33,3:34"
No Worries - Lil Wayne.mp3,"2:15,2:16
2:34,2:35"
Leather So Soft - Lil Wayne.mp3,"0:41,0:42
2:07,2:08
2:29,2:30"
Not Like Me - Lil Wayne.mp3,"0:51,0:52
1:20,1:21
3:04,3:05
3:09,3:10"
Drop It Like Its Hot - Lil Wayne.mp3,"3:16,3:17"
Runnin - Lil Wayne.mp3,"2:13,2:14"
BM J.R. - Lil Wayne.mp3,"0:05,0:06
0:10,0:11
0:12,0:13
0:40,0:41
1:39,1:40
2:46,2:47
2:48,2:49
3:46,3:47"
Know What Im Doin - Lil Wayne.mp3,"0:54,0:55
3:33,3:34
3:37,3:38
3:40,3:41
3:42,3:43
3:51,3:52
3:53,3:54"
This Is the Carter - Lil Wayne.mp3,"0:59,1:00
1:34,1:35
1:39,1:40
2:09,2:10
2:39,2:40
2:49,2:50
2:54,2:55"
Got Money - Lil Wayne.mp3,"2:23,2:24
3:07,3:08"
I Miss My Dawgs - Lil Wayne.mp3,"0:21,0:22
2:24,2:25
2:59,3:00"
Hello - Lil Wayne.mp3,"0:06,0:07
1:54,1:55
2:29,2:30
3:12,3:13"
Trippy - Lil Wayne.mp3,"0:11,0:12
0:14,0:15
0:32,0:33
1:48,1:49"
John - Lil Wayne.mp3,"0:37,0.38
0:41,0:41
0:42,0:43
0:57,0:58
0:59,1:00
1:22,1:23
3:01,3:02
3:02,3:03
4:23,4:24"
Fireman - Lil Wayne.mp3,"0:48,0:49"
High - Lil Wayne.mp3,"0:28,0:29
1:00,1:02
1:30,1:31
1:38,1:39
1:54,1:55"
Hoes - Lil Wayne.mp3,"1:36,1:37
1:55,1:56
2:03,2:04"
Inside - Lil Wayne.mp3,"0:13,0:14"
Interlude - Lil Wayne.mp3,"0:16,0:17
0:41,0:42"
On Fire - Lil Wayne.mp3,"1:47,1:48"
Back ToYou - Lil Wayne.mp3,"3:00,3:01"
Aint Worried Bout Sh*t - Lil Wayne.mp3,"0:50,0:51
0:52,0:53
1:07,1:08
1:18,1:19
1:43,1:44
2:10,2:11
2:20,2:21
3:12,3:13
3:23,3:24
3:34,3:35"
Shoot Me Down - Lil Wayne.mp3,"0:14,0:15
1:02,1:03
1:46,1:47
3:48,3:49"
YM Salute - Lil Wayne.mp3,"3:43, 3:44
4:37, 4:38
4:43, 4:44"
Out The Pound - Lil Wayne.mp3,"1:46,1:47"
Im Single - Lil Wayne.mp3,"0:35,0:36
0:57,0:58
1:01,1:02
1:02,1:03
1:05,1:06
2:32,2:33
3:23,3:24"
Fo Sheezy - Lil Wayne.mp3,"1:39, 1:40
2:41, 2:42
3:06, 3:07"
